Database,Credit,Table,IFCGLs
IFCCode,SysAccountName,AccountAlias,Id
343,PENALTY_PRIN2,###**34620?000000000,0
343,PAID_PENALTY_PRIN2,###**62230?000000000,0
343,PENALTY_PRIN3,###**34620?000000000,0
343,PENALTY_PRIN4,###**34620?000000000,0
343,PAID_PENALTY_PRIN_S,###**62230?000000000,0
353,PENALTY_PRIN0,###**34620?000000000,0
353,PAID_PENALTY_PRIN0,###**62230?000000000,0
353,PENALTY_PRIN1,###**34620?000000000,0
353,PAID_PENALTY_PRIN1,###**62230?000000000,0
353,PENALTY_PRIN2,###**34620?000000000,0
353,PAID_PENALTY_PRIN2,###**62230?000000000,0
353,PENALTY_PRIN3,###**34620?000000000,0
353,PENALTY_PRIN4,###**34620?000000000,0
353,PAID_PENALTY_PRIN_S,###**62230?000000000,0
362,PENALTY_PRIN0,###**34620?000000000,0
362,PAID_PENALTY_PRIN0,###**62230?000000000,0
362,PENALTY_PRIN1,###**34620?000000000,0
362,PAID_PENALTY_PRIN1,###**62230?000000000,0
362,PENALTY_PRIN2,###**34620?000000000,0
362,PAID_PENALTY_PRIN2,###**62230?000000000,0
362,PENALTY_PRIN3,###**34620?000000000,0
362,PENALTY_PRIN4,###**34620?000000000,0
362,PAID_PENALTY_PRIN_S,###**62230?000000000,0
372,PENALTY_PRIN0,###**34620?000000000,0
372,PAID_PENALTY_PRIN0,###**62230?000000000,0
372,PENALTY_PRIN1,###**34620?000000000,0
372,PAID_PENALTY_PRIN1,###**62230?000000000,0
372,PENALTY_PRIN2,###**34620?000000000,0
372,PAID_PENALTY_PRIN2,###**62230?000000000,0
372,PENALTY_PRIN3,###**34620?000000000,0
372,PENALTY_PRIN4,###**34620?000000000,0
372,PAID_PENALTY_PRIN_S,###**62230?000000000,0
382,PENALTY_PRIN0,###**34620?000000000,0
382,PAID_PENALTY_PRIN0,###**62230?000000000,0
382,PENALTY_PRIN1,###**34620?000000000,0
382,PAID_PENALTY_PRIN1,###**62230?000000000,0
382,PENALTY_PRIN2,###**34620?000000000,0
382,PAID_PENALTY_PRIN2,###**62230?000000000,0
382,PENALTY_PRIN3,###**34620?000000000,0
382,PENALTY_PRIN4,###**34620?000000000,0
382,PAID_PENALTY_PRIN_S,###**62230?000000000,0
393,PENALTY_PRIN0,###**34620?000000000,0
393,PAID_PENALTY_PRIN0,###**62230?000000000,0
393,PENALTY_PRIN1,###**34620?000000000,0
393,PAID_PENALTY_PRIN1,###**62230?000000000,0
393,PENALTY_PRIN2,###**34620?000000000,0
393,PAID_PENALTY_PRIN2,###**62230?000000000,0
393,PENALTY_PRIN3,###**34620?000000000,0
393,PENALTY_PRIN4,###**34620?000000000,0
393,PAID_PENALTY_PRIN_S,###**62230?000000000,0
233,PENALTY_INT1,###**34620?000000000,0
233,PAID_PENALTY_INT1,###**62230?000000000,0
233,PENALTY_INT0,###**34620?000000000,0
233,PAID_PENALTY_INT0,###**62230?000000000,0
233,PENALTY_INT2,###**34620?000000000,0
233,PAID_PENALTY_INT2,###**62230?000000000,0
233,PENALTY_INT3,###**34620?000000000,0
233,PENALTY_INT4,###**34620?000000000,0
233,PAID_PENALTY_INT_S,###**62230?000000000,0
243,PENALTY_INT1,###**34620?000000000,0
243,PAID_PENALTY_INT1,###**62230?000000000,0
243,PENALTY_INT0,###**34620?000000000,0
243,PAID_PENALTY_INT0,###**62230?000000000,0
243,PENALTY_INT2,###**34620?000000000,0
243,PAID_PENALTY_INT2,###**62230?000000000,0
243,PENALTY_INT3,###**34620?000000000,0
243,PENALTY_INT4,###**34620?000000000,0
243,PAID_PENALTY_INT_S,###**62230?000000000,0
