Database,Credit,Table,CreditCatalogGLs,
CatalogCode,SysAccountName,COAAccount,AccountAlias,Id
HP05MMK009,PROV_DR_RVS4,,###**62230?000000000,0
HP05MMK009,PROV_DR0,,###**34620?000000000,0
HP05MMK009,PROV_DR1,,###**34620?000000000,0
HP05MMK009,PROV_DR2,,###**34620?000000000,0
HP05MMK009,PROV_DR3,,###**34620?000000000,0
HP05MMK009,PROV_DR4,,###**34620?000000000,0
HP02MMK010,CREDIT0,,###**95410?060000000,0
HP02MMK010,CREDIT1,,###**95410?060000000,0
HP02MMK010,CREDIT2,,###**95410?060000000,0
HP02MMK010,CREDIT3,,###**95410?060000000,0
HP02MMK010,CREDIT4,,###**95410?060000000,0
HP02MMK010,PROV_CR_RVS0,,###**34620?000000000,0
HP02MMK010,PROV_CR_RVS1,,###**34620?000000000,0
HP02MMK010,PROV_CR_RVS2,,###**34620?000000000,0
HP02MMK010,PROV_CR_RVS3,,###**34620?000000000,0
HP02MMK010,PROV_CR_RVS4,,###**34620?000000000,0
HP02MMK010,PROV_CR0,,###**62230?000000000,0
HP02MMK010,PROV_CR1,,###**62230?000000000,0
HP02MMK010,PROV_CR2,,###**62230?000000000,0
HP02MMK010,PROV_CR3,,###**62230?000000000,0
HP02MMK010,PROV_CR4,,###**62230?000000000,0
HP02MMK010,PROV_DR_RVS0,,###**62230?000000000,0
HP02MMK010,PROV_DR_RVS1,,###**62230?000000000,0
HP02MMK010,PROV_DR_RVS2,,###**62230?000000000,0
HP02MMK010,PROV_DR_RVS3,,###**62230?000000000,0
HP02MMK010,PROV_DR_RVS4,,###**62230?000000000,0
HP02MMK010,PROV_DR0,,###**34620?000000000,0
HP02MMK010,PROV_DR1,,###**34620?000000000,0
HP02MMK010,PROV_DR2,,###**34620?000000000,0
HP02MMK010,PROV_DR3,,###**34620?000000000,0
HP02MMK010,PROV_DR4,,###**34620?000000000,0
HP03MMK011,CREDIT0,,###**95410?060000000,0
HP03MMK011,CREDIT1,,###**95410?060000000,0
HP03MMK011,CREDIT2,,###**95410?060000000,0
HP03MMK011,CREDIT3,,###**95410?060000000,0
HP03MMK011,CREDIT4,,###**95410?060000000,0
HP03MMK011,PROV_CR_RVS0,,###**34620?000000000,0
HP03MMK011,PROV_CR_RVS1,,###**34620?000000000,0
HP03MMK011,PROV_CR_RVS2,,###**34620?000000000,0
HP03MMK011,PROV_CR_RVS3,,###**34620?000000000,0
HP03MMK011,PROV_CR_RVS4,,###**34620?000000000,0
HP03MMK011,PROV_CR0,,###**62230?000000000,0
HP03MMK011,PROV_CR1,,###**62230?000000000,0
HP03MMK011,PROV_CR2,,###**62230?000000000,0
HP03MMK011,PROV_CR3,,###**62230?000000000,0
HP03MMK011,PROV_CR4,,###**62230?000000000,0
HP03MMK011,PROV_DR_RVS0,,###**62230?000000000,0
HP03MMK011,PROV_DR_RVS1,,###**62230?000000000,0
HP03MMK011,PROV_DR_RVS2,,###**62230?000000000,0
HP03MMK011,PROV_DR_RVS3,,###**62230?000000000,0
HP03MMK011,PROV_DR_RVS4,,###**62230?000000000,0
HP03MMK011,PROV_DR0,,###**34620?000000000,0
HP03MMK011,PROV_DR1,,###**34620?000000000,0
HP03MMK011,PROV_DR2,,###**34620?000000000,0
HP03MMK011,PROV_DR3,,###**34620?000000000,0
HP03MMK011,PROV_DR4,,###**34620?000000000,0
HP3YMMK012,CREDIT0,,###**95410?060000000,0
HP3YMMK012,CREDIT1,,###**95410?060000000,0
HP3YMMK012,CREDIT2,,###**95410?060000000,0
HP3YMMK012,CREDIT3,,###**95410?060000000,0
HP3YMMK012,CREDIT4,,###**95410?060000000,0
HP3YMMK012,PROV_CR_RVS0,,###**34620?000000000,0
HP3YMMK012,PROV_CR_RVS1,,###**34620?000000000,0
HP3YMMK012,PROV_CR_RVS2,,###**34620?000000000,0
HP3YMMK012,PROV_CR_RVS3,,###**34620?000000000,0
HP3YMMK012,PROV_CR_RVS4,,###**34620?000000000,0
HP3YMMK012,PROV_CR0,,###**62230?000000000,0
HP3YMMK012,PROV_CR1,,###**62230?000000000,0
HP3YMMK012,PROV_CR2,,###**62230?000000000,0
HP3YMMK012,PROV_CR3,,###**62230?000000000,0
HP3YMMK012,PROV_CR4,,###**62230?000000000,0
HP3YMMK012,PROV_DR_RVS0,,###**62230?000000000,0
HP3YMMK012,PROV_DR_RVS1,,###**62230?000000000,0
HP3YMMK012,PROV_DR_RVS2,,###**62230?000000000,0
HP3YMMK012,PROV_DR_RVS3,,###**62230?000000000,0
HP3YMMK012,PROV_DR_RVS4,,###**62230?000000000,0
HP3YMMK012,PROV_DR0,,###**34620?000000000,0
HP3YMMK012,PROV_DR1,,###**34620?000000000,0
HP3YMMK012,PROV_DR2,,###**34620?000000000,0
HP3YMMK012,PROV_DR3,,###**34620?000000000,0
HP3YMMK012,PROV_DR4,,###**34620?000000000,0
NR10MMK013,CREDIT0,,###**95410?060000000,0
NR10MMK013,CREDIT1,,###**95410?060000000,0
NR10MMK013,CREDIT2,,###**95410?060000000,0
NR10MMK013,CREDIT3,,###**95410?060000000,0
NR10MMK013,CREDIT4,,###**95410?060000000,0
