Database,Admin,Table,UserLimit,,,,,,
RoleId,CommandId,CurrencyCode,ULimit,CvTable,LimitType,Margin,UpdatedOnUtc,CreatedOnUtc,Id
1,CRD_IFC,MMK,.000,,A,0,,,0
1,CRD_IPCT,MMK,.000,,A,0,,,0
1,CRD_MDR,MMK,.000,,A,0,,,0
1,CRD_MIPM,MMK,.000,,A,0,,,0
1,CRD_NPL,MMK,.000,,A,0,,,0
1,CRD_OPN,MMK,.000,,A,0,,,0
1,CRD_PLA,MMK,.000,,A,0,,,0
1,CRD_PLAD,MMK,.000,,A,0,,,0
1,CRD_PLC,MMK,.000,,A,0,,,0
1,CRD_PLO,MMK,.000,,A,0,,,0
1,CRD_REJ,MMK,.000,,A,0,,,0
1,CRD_RFC,MMK,.000,,A,0,,,0
1,CRD_RFD,MMK,.000,,A,0,,,0
1,CRD_RLS,MMK,.000,,A,0,,,0
1,CRD_SPAD,MMK,.000,,A,0,,,0
1,CRD_SPLA,MMK,.000,,A,0,,,0
1,CRD_SPLC,MMK,.000,,A,0,,,0
1,CRD_SPLO,MMK,.000,,A,0,,,0
1,CRD_TDR,MMK,.000,,A,0,,,0
1,CSH_ACT,MMK,.000,,A,0,,,0
1,CSH_BMOV,MMK,.000,,A,0,,,0
1,CSH_CSH,MMK,.000,,A,0,,,0
1,CSH_DNM,MMK,.000,,A,0,,,0
1,CSH_DPT,MMK,.000,,A,0,,,0
1,CSH_MOV,MMK,.000,,A,0,,,0
1,CTM_APR,MMK,.000,,A,0,,,0
1,CTM_CAS,MMK,.000,,A,0,,,0
1,DPT_ACT,MMK,.000,,A,0,,,0
1,DPT_APR,MMK,.000,,A,0,,,0
1,DPT_BLK,MMK,.000,,A,0,,,0
1,DPT_CAS,MMK,.000,,A,0,,,0
1,DPT_CCI,MMK,.000,,A,0,,,0
1,DPT_CCR,MMK,.000,,A,0,,,0
1,DPT_CCW,MMK,.000,,A,0,,,0
1,DPT_CDP,MMK,.000,,A,0,,,0
1,DPT_CDT,MMK,.000,,A,0,,,0
