Database,Admin,Table,UserRight,,,,
RoleId,CommandId,CommandIdDetail,Invoke,Approve,UpdatedOnUtc,CreatedOnUtc,Id
2,0120070002,A,1,1,,,0
2,0120070003,A,1,1,,,0
2,0120070004,A,1,1,,,0
2,0120070005,A,1,1,,,0
2,0120070010,A,1,1,,,0
2,013001,A,1,1,,,0
2,013002,A,1,1,,,0
2,013003,A,1,1,,,0
2,0130010002,A,1,1,,,0
2,0130010004,A,1,1,,,0
2,0130010006,A,1,1,,,0
2,0130010008,A,1,1,,,0
2,0130010009,A,1,1,,,0
2,0130010014,A,1,1,,,0
2,015001,A,1,1,,,0
2,015002,A,1,1,,,0
2,015003,A,1,1,,,0
2,015004,A,1,1,,,0
2,015005,A,1,1,,,0
2,015001001,A,1,1,,,0
2,015001002,A,1,1,,,0
2,015001003,A,1,1,,,0
2,015001004,A,1,1,,,0
2,015001005,A,1,1,,,0
2,015001006,A,1,1,,,0
2,ADM_SIMPLE_SEARCH_CODE_LIST,A,1,1,,,0
2,ADM_ADVANCED_SEARCH_CODE_LIST,A,1,1,,,0
2,ADM_INSERT_CODE_LIST,A,1,1,,,0
2,ADM_VIEW_CODE_LIST_BY_PRIMARY_KEY,A,1,1,,,0
2,ADM_UPDATE_CODE_LIST_BY_PRIMARY_KEY,A,1,1,,,0
2,ADM_DELETE_CODE_LIST_BY_PRIMARY_KEY,A,1,1,,,0
2,0150010010005,A,1,1,,,0
2,0150010010010,A,1,1,,,0
2,0150010020000,A,1,1,,,0
2,0150010020001,A,1,1,,,0
2,0150010020002,A,1,1,,,0
2,0150010020003,A,1,1,,,0
2,0150010020004,A,1,1,,,0
2,0150010020005,A,1,1,,,0
2,0150010020010,A,1,1,,,0
2,0150010040010,A,1,1,,,0
2,0150010040015,A,1,1,,,0
2,0150010050004,A,1,1,,,0
2,0150010050005,A,1,1,,,0
2,0150010050007,A,1,1,,,0
2,0150010050015,A,1,1,,,0
2,0150010060004,A,1,1,,,0
2,0150010060035,A,1,1,,,0
2,015002000001,A,1,1,,,0
2,015002000002,A,1,1,,,0
2,015002000003,A,1,1,,,0
2,015002000004,A,1,1,,,0
2,015002000005,A,1,1,,,0
2,015002000006,A,1,1,,,0
2,015002000007,A,1,1,,,0
2,015002000008,A,1,1,,,0
2,015002001,A,1,1,,,0
2,015002002,A,1,1,,,0
2,015002005,A,1,1,,,0
2,ADM_SIMPLE_SEARCH_COUNTRY,A,1,1,,,0
2,ADM_ADVANCED_SEARCH_COUNTRY,A,1,1,,,0
2,ADM_INSERT_COUNTRY,A,1,1,,,0
2,ADM_VIEW_COUNTRY,A,1,1,,,0
2,ADM_UPDATE_COUNTRY,A,1,1,,,0
2,ADM_DELETE_COUNTRY,A,1,1,,,0
2,0150020010005,A,1,1,,,0
2,0150020010010,A,1,1,,,0
2,ADM_SIMPLE_SEARCH_CURRENCY,A,1,1,,,0
2,ADM_ADVANCED_SEARCH_CURRENCY,A,1,1,,,0
2,ADM_INSERT_CURRENCY,A,1,1,,,0
2,ADM_VIEW_CURRENCY,A,1,1,,,0
2,ADM_UPDATE_CURRENCY,A,1,1,,,0
2,ADM_DELETE_CURRENCY,A,1,1,,,0
2,0150020020005,A,1,1,,,0
2,0150020020010,A,1,1,,,0
2,CSH_DENOM_SER_SIMPLE,A,1,1,,,0
2,CSH_DENOM_SER_ADVANCE,A,1,1,,,0
2,CSH_DENOM_INS,A,1,1,,,0
2,CSH_DENOM_VIEW,A,1,1,,,0
2,CSH_DENOM_UPD,A,1,1,,,0
2,CSH_DENOM_DEL,A,1,1,,,0
2,0150020050005,A,1,1,,,0
2,0150020050010,A,1,1,,,0
2,015003001,A,1,1,,,0
2,0150030010,A,1,1,,,0
2,015003002,A,1,1,,,0
2,015003003,A,1,1,,,0
2,015003004,A,1,1,,,0
2,015003005,A,1,1,,,0
2,015003006,A,1,1,,,0
2,015003008,A,1,1,,,0
2,015003009,A,1,1,,,0
2,015003010,A,1,1,,,0
2,015003011,A,1,1,,,0
2,015003012,A,1,1,,,0
2,015003013,A,1,1,,,0
2,ADM_SIMPLE_SEARCH_BRANCH,A,1,1,,,0
2,ADM_ADVANCED_SEARCH_BRANCH,A,1,1,,,0
2,ADM_INSERT_BRANCH,A,1,1,,,0
2,ADM_VIEW_BRANCH,A,1,1,,,0
2,ADM_UPDATE_BRANCH,A,1,1,,,0
2,ADM_DELETE_BRANCH,A,1,1,,,0
2,0150030010005,A,1,1,,,0
2,0150030010010,A,1,1,,,0
2,ADM_SIMPLE_SEARCH_DEPARTMENT,A,1,1,,,0
2,ADM_ADVANCED_SEARCH_DEPARTMENT,A,1,1,,,0
2,ADM_INSERT_DEPARTMENT,A,1,1,,,0
2,ADM_VIEW_DEPARTMENT,A,1,1,,,0
2,ADM_UPDATE_DEPARTMENT,A,1,1,,,0
2,ADM_DELETE_DEPARTMENT,A,1,1,,,0
2,0150030020005,A,1,1,,,0
2,0150030020010,A,1,1,,,0
2,ADM_INSERT_USER_ROLE,A,1,1,,,0
2,ADM_DELETE_USER_ROLE,A,1,1,,,0
2,0150030030005,A,1,1,,,0
2,ADM_SIMPLE_SEARCH_USER_ACCOUNT,A,1,1,,,0
2,ADM_ADVANCED_SEARCH_USER_ACCOUNT,A,1,1,,,0
2,ADM_INSERT_USER_ACCOUNT,A,1,1,,,0
2,ADM_VIEW_USER_ACCOUNT,A,1,1,,,0
2,ADM_UPDATE_USER_ACCOUNT,A,1,1,,,0
2,ADM_DELETE_USER_ACCOUNT,A,1,1,,,0
2,0150030040005,A,1,1,,,0
2,0150030040010,A,1,1,,,0
2,UMG_LOGOUT_USER,A,1,1,,,0
2,0150030050000,A,1,1,,,0
2,0150030050001,A,1,1,,,0
2,0150030050002,A,1,1,,,0
2,0150030050003,A,1,1,,,0
2,0150030050004,A,1,1,,,0
2,0150030050005,A,1,1,,,0
2,0150030050010,A,1,1,,,0
2,ADM_SIMPLE_SEARCH_USER_POLICY,A,1,1,,,0
2,ADM_ADVANCED_SEARCH_USER_POLICY,A,1,1,,,0
2,ADM_INSERT_USER_POLICY,A,1,1,,,0
2,ADM_VIEW_USER_POLICY,A,1,1,,,0
2,ADM_UPDATE_USER_POLICY,A,1,1,,,0
2,ADM_DELETE_USER_POLICY,A,1,1,,,0
2,0150030060005,A,1,1,,,0
2,0150030060010,A,1,1,,,0
2,0150030080001,A,1,1,,,0
2,ADM_ADVANCED_SEARCH_USER_LIMIT,A,1,1,,,0
2,ADM_UPDATE_LIST_USER_LIMIT,A,1,1,,,0
2,0150030090001,A,1,1,,,0
2,ADM_REFRESH_BRANCH,A,1,1,,,0
2,ADM_CLOSE_BRANCH,A,1,1,,,0
2,OPNBANK,A,1,1,,,0
2,CLSBANK,A,1,1,,,0
2,FX_APPFXRATE_MDF,A,1,1,,,0
2,0150030110005,A,1,1,,,0
2,FX_APPFXRATE_APR,A,1,1,,,0
2,FX_APPFXRATE_REJECT,A,1,1,,,0
2,FX_APPFXRATE_VIEW,A,1,1,,,0
2,0150030120000,A,1,1,,,0
2,0150030120001,A,1,1,,,0
2,0150030120002,A,1,1,,,0
2,0150030120003,A,1,1,,,0
2,0150030120004,A,1,1,,,0
2,0150030120005,A,1,1,,,0
2,0150030120007,A,1,1,,,0
2,0150030120010,A,1,1,,,0
2,0150030120019,A,1,1,,,0
2,015004001,A,1,1,,,0
2,015004002,A,1,1,,,0
2,015004003,A,1,1,,,0
2,015004004,A,1,1,,,0
2,0150040010003,A,1,1,,,0
2,0150040010005,A,1,1,,,0
2,ADM_UPDATE_CALENDAR,A,1,1,,,0
2,0150040020003,A,1,1,,,0
2,0150040020005,A,1,1,,,0
2,015005001,A,1,1,,,0
2,ADM_REFRESH_BRANCH_BY_USER,A,1,1,,,0
2,ADM_OPEN_BRANCH,A,1,1,,,0
2,016001,A,1,1,,,0
2,016002,A,1,1,,,0
2,016001001,A,1,1,,,0
2,016001002,A,1,1,,,0
2,016001003,A,1,1,,,0
2,016001004,A,1,1,,,0
2,0160010010000,A,1,1,,,0
2,0160010010001,A,1,1,,,0
2,0160010010002,A,1,1,,,0
2,0160010010003,A,1,1,,,0
2,0160010010004,A,1,1,,,0
2,0160010010005,A,1,1,,,0
2,0160010010010,A,1,1,,,0
2,0160010020000,A,1,1,,,0
2,0160010020001,A,1,1,,,0
2,0160010020002,A,1,1,,,0
2,0160010020003,A,1,1,,,0
2,0160010020004,A,1,1,,,0
2,0160010020005,A,1,1,,,0
2,0160010020010,A,1,1,,,0
2,0160010030000,A,1,1,,,0
2,0160010030001,A,1,1,,,0
2,0160010030002,A,1,1,,,0
2,0160010030003,A,1,1,,,0
2,0160010030004,A,1,1,,,0
2,0160010030005,A,1,1,,,0
2,0160010030010,A,1,1,,,0
2,0160010040000,A,1,1,,,0
2,0160010040001,A,1,1,,,0
2,0160010040002,A,1,1,,,0
2,0160010040003,A,1,1,,,0
2,0160010040004,A,1,1,,,0
2,0160010040005,A,1,1,,,0
2,0160010040010,A,1,1,,,0
2,JOB_LIST_ALL_INSTANCES,A,1,1,,,0
2,JOB_START_JOB,A,1,1,,,0
2,JOB_STOP_JOB,A,1,1,,,0
2,018001,A,1,1,,,0
2,018003,A,1,1,,,0
2,0180010005,A,1,1,,,0
2,0180010010,A,1,1,,,0
2,0180030003,A,1,1,,,0
2,0180030005,A,1,1,,,0
2,0180030010,A,1,1,,,0
2,ACT_ACT,A,1,1,,,0
2,ACT_BOLT,A,1,1,,,0
2,ACT_CIBT,A,1,1,,,0
2,ACT_CSH,A,1,1,,,0
2,ACT_CVS,A,1,1,,,0
2,ACT_DPT,A,1,1,,,0
2,ACT_EVAL,A,1,1,,,0
2,ACT_FEE,A,1,1,,,0
2,ACT_GFEE,A,1,1,,,0
2,ACT_OGL,A,1,1,,,0
2,ADM_CSHF,A,1,1,,,0
2,ADM_DMS,A,1,1,,,0
2,ADM_FXD,A,1,1,,,0
2,CRD_AIF,A,1,1,,,0
2,CRD_AIPV,A,1,1,,,0
2,CRD_APR,A,1,1,,,0
2,CRD_BLK,A,1,1,,,0
2,CRD_CAS,A,1,1,,,0
2,CRD_CCS,A,1,1,,,0
2,CRD_CDR,A,1,1,,,0
2,CRD_CIC,A,1,1,,,0
2,CRD_CIPM,A,1,1,,,0
2,CRD_CLA,A,1,1,,,0
2,CRD_CLS,A,1,1,,,0
2,CRD_CPM,A,1,1,,,0
2,CRD_EXT,A,1,1,,,0
2,CRD_FCD,A,1,1,,,0
2,CRD_FCG,A,1,1,,,0
2,CRD_FOC,A,1,1,,,0
2,CRD_FRG,A,1,1,,,0
2,CRD_GSCH,A,1,1,,,0
2,CRD_HIS,A,1,1,,,0
2,CRD_IAJ,A,1,1,,,0
