Database,Deposit,Table,DepositIFCDefinition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcCode,IfcName,ValueBase,IsLinked,IfcLinkage,IfcOperator,FloorValue,CeilingValue,ValueType,IfcType,IfcSubType,IfcValue,MarginValue,ValueBasic,Isnet,Refname,IfcTenor,IfcTenorUnit,IfcCondition,CurrencyCode,RoundingRule,RoundingBasis,RoundingNum,Isleave,Isbook,Booktday,BookTenor,BookTenorUnit,IfcStatus,UserCreated,UserApproved,Payrate,ShareFee,EffectValueDate,EffectValue,TransactionList,CreatedOnUtc,UpdatedOnUtc,Id
3,Account To Account Transfer (MMK) For Different Region,I,N,0,%,200.00000,0.00000,P,C,CN,0.05000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_TRF,,,0
4,Account To Account Transfer (USD),I,N,0,+,0.00000,0.00000,F,C,CN,2.00000,0.00000,,,,0,D,,USD,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_TRF,,,0
5,Account To Account Transfer (EUR),I,N,0,+,0.00000,0.00000,F,C,CN,2.00000,0.00000,,,,0,D,,EUR,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_TRF,,,0
6,Account To Account Transfer (SGD),I,N,0,+,0.00000,0.00000,F,C,CN,2.00000,0.00000,,,,0,D,,SGD,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_TRF,,,0
7,Communication Fee for Different Region (MMK),I,N,0,+,0.00000,0.00000,F,C,CN,500.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
8,Withdrawal (MMK) For Same Region  (By Cash),I,N,0,+,0.00000,0.00000,F,C,CN,0.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_CWR,,,0
9,Account To Account Transfer (MMK) For Same Region,I,N,0,+,0.00000,0.00000,F,C,CN,0.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_TRF|DPT_RPO,,,0
10,Corporate Payroll (Single debit multiple credit) (MMK),I,N,0,+,0.00000,0.00000,F,C,CN,0.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
11,Passbook Replacement Fee (MMK),I,N,0,+,0.00000,0.00000,F,C,CN,1000.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_SBI,,,0
12,Certificate Replacement Fee (MMK),I,N,0,+,0.00000,0.00000,F,C,CN,1000.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
13,Cheque Book Issuance Fee (MMK),I,N,0,+,0.00000,0.00000,F,C,CN,5000.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_CIS,,,0
14,Cheque Book Replacement Fee (MMK),I,N,0,+,0.00000,0.00000,F,C,CN,5000.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,,,,0
15,Certified Cheque Service Charges (%) (MMK),I,N,0,%,1000.00000,5000.00000,P,C,CN,0.05000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_FOC|DPT_FEE|ACT_FEE|ACT_GFEE,,,0
16,Government Stamp Duty For Cheque Book (MMK),I,N,0,+,0.00000,0.00000,F,C,CN,125.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_CIS,,,0
17,Clearing Cheque (MMK),I,N,0,+,0.00000,0.00000,F,C,CN,300.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,CRD_FOC,,,0
18,Account Linkage Fees (MMK),I,N,0,+,0.00000,0.00000,F,C,CN,3000.00000,0.00000,,,,0,D,,MMK,R,P,2,N,N,,.0,M,N,00911,0,100.00,0,,.00000,DPT_OPAL,,,0
