Database,Deposit,Table,IFCGLs
IfcCode,SysAccountName,AccountAlias,Id
139,INTEREST,###1101003010003**,0
139,PAID_INTEREST,###1101003010003**,0
139,REVERT_INTEREST,###1101003010003**,0
139,PREPAID_INTEREST,###1101003010003**,0
141,INTEREST,###1101003010003**,0
141,PAID_INTEREST,###1101003010003**,0
141,REVERT_INTEREST,###1101003010003**,0
141,PREPAID_INTEREST,###1101003010003**,0
140,INTEREST,###1101003010003**,0
140,PAID_INTEREST,###1101003010003**,0
140,REVERT_INTEREST,###1101003010003**,0
140,PREPAID_INTEREST,###1101003010003**,0
142,IFCC,---1101003010003**,0
143,IFCC,---1101003010003**,0
