Database,Accounting,Table,AccountBalance,,,,,,,,,,,,,,,,,,,,
AccountNumber,CurrencyCode,BranchCode,Balance,DailyDebit,DailyCredit,WeeklyDebit,WeeklyCredit,MonthlyDebit,MonthlyCredit,QuarterlyDebit,QuarterlyCredit,HalfYearlyDebit,HalfYearlyCredit,YearlyDebit,YearlyCredit,WeekAverageBalance,MonthAverageBalance,QuarterAverageBalance,HalfYearAverageBalance,YearAverageBalance,CreatedOnUtc,UpdatedOnUtc,Id
001101040101000506,THB,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101040101000502,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101040101000604,SGD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101040101000602,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101040101000704,SGD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101040101000802,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101040101000902,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101040101001002,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101050100000101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101060100000101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101060100000102,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101070100000102,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101070100000103,EUR,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101070100000104,SGD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001101070100000106,THB,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001102010101000101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001102010101000201,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010101010101,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010101010201,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010101010301,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010101010401,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010101010501,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010101010601,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010101010701,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010101010802,USD,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010101010801,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010101010901,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
001103010101011001,MMK,001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
