Database,Accounting,Table,AccountMapping,,,
MappingId,MappingTableName,AccountName,MappingType,CreatedOnUtc,UpdatedOnUtc,Id
002110100501000101,11010050100,,A,,,0
002110100501000201,11010050100,,A,,,0
002110100501000301,11010050100,,A,,,0
002110100501000401,11010050100,,A,,,0
002110100501000501,11010050100,,A,,,0
002110100501000601,11010050100,,A,,,0
002110100501000701,11010050100,,A,,,0
002110100501000801,11010050100,,A,,,0
002110100501000901,11010050100,,A,,,0
002110100501001001,11010050100,,A,,,0
002110100601000101,11010060100,,A,,,0
002110100601000201,11010060100,,A,,,0
002110100601000301,11010060100,,A,,,0
002110100601000401,11010060100,,A,,,0
002110100601000501,11010060100,,A,,,0
002110100601000601,11010060100,,A,,,0
002110100601000701,11010060100,,A,,,0
002110100601000801,11010060100,,A,,,0
002110100601000901,11010060100,,A,,,0
002110100601001001,11010060100,,A,,,0
002110100601001101,11010060100,,A,,,0
002110100601001201,11010060100,,A,,,0
002110100601001301,11010060100,,A,,,0
002110100601001401,11010060100,,A,,,0
002110100701000101,11010070100,,A,,,0
002110100701000201,11010070100,,A,,,0
002110100701000301,11010070100,,A,,,0
002110100701000401,11010070100,,A,,,0
002110100701000501,11010070100,,A,,,0
002110100701000601,11010070100,,A,,,0
002110100701000701,11010070100,,A,,,0
002110100701000801,11010070100,,A,,,0
002110100701000901,11010070100,,A,,,0
002110100701001001,11010070100,,A,,,0
002110100701001101,11010070100,,A,,,0
002110100701001201,11010070100,,A,,,0
002110100701001301,11010070100,,A,,,0
002110100701001401,11010070100,,A,,,0
002110100801000101,11010080100,,A,,,0
002110100801000201,11010080100,,A,,,0
002110100801000301,11010080100,,A,,,0
002110100801000401,11010080100,,A,,,0
002110100801000501,11010080100,,A,,,0
002110100801000601,11010080100,,A,,,0
002110100801000701,11010080100,,A,,,0
002110100801000801,11010080100,,A,,,0
002110100801000901,11010080100,,A,,,0
002110100801001001,11010080100,,A,,,0
002110100801001101,11010080100,,A,,,0
002110100801001201,11010080100,,A,,,0
002110100801001301,11010080100,,A,,,0
002110100901000101,11010090100,,A,,,0
002110100901000201,11010090100,,A,,,0
002110100901000301,11010090100,,A,,,0
002110100901000401,11010090100,,A,,,0
002110100901000501,11010090100,,A,,,0
002110100901000601,11010090100,,A,,,0
002110100901000701,11010090100,,A,,,0
002110100901000801,11010090100,,A,,,0
002110100901000901,11010090100,,A,,,0
002110100901001001,11010090100,,A,,,0
002110101001000101,11010100100,,A,,,0
002110101001000201,11010100100,,A,,,0
002110101001000301,11010100100,,A,,,0
002110101001000401,11010100100,,A,,,0
002110101001000501,11010100100,,A,,,0
002110101001000601,11010100100,,A,,,0
002110101001000701,11010100100,,A,,,0
002110101001000801,11010100100,,A,,,0
002110101001000901,11010100100,,A,,,0
002110101001001001,11010100100,,A,,,0
002110101001001101,11010100100,,A,,,0
002110101101000101,11010110100,,A,,,0
002110101101000201,11010110100,,A,,,0
002110101101000301,11010110100,,A,,,0
002110101101000401,11010110100,,A,,,0
002110101101000501,11010110100,,A,,,0
002110101101000601,11010110100,,A,,,0
002110101101000701,11010110100,,A,,,0
002110101101000801,11010110100,,A,,,0
002110101101000901,11010110100,,A,,,0
002110101101001001,11010110100,,A,,,0
002110101101001101,11010110100,,A,,,0
002110101101001201,11010110100,,A,,,0
002110110101000101,11011010100,,A,,,0
002110110201000101,11011020100,,A,,,0
002110110301000101,11011030100,,A,,,0
002110110401000101,11011040100,,A,,,0
002110110501000101,11011050100,,A,,,0
002110110601000101,11011060100,,A,,,0
002110110701000101,11011070100,,A,,,0
002110110801000101,11011080100,,A,,,0
002201010101000101,20101010100,,A,,,0
002201010201000101,20101020100,,A,,,0
002201010201000202,20101020100,,A,,,0
002201010201000301,20101020100,,A,,,0
002201010201000401,20101020100,,A,,,0
002201010201000402,20101020100,,A,,,0
002201010201000502,20101020100,,A,,,0
002201010201000601,20101020100,,A,,,0
002201010201000701,20101020100,,A,,,0
002201010201000801,20101020100,,A,,,0
002201010201000901,20101020100,,A,,,0
002201010201001001,20101020100,,A,,,0
002201010201001101,20101020100,,A,,,0
002201010201001201,20101020100,,A,,,0
002201010201001301,20101020100,,A,,,0
002201010201001302,20101020100,,A,,,0
002201010201001401,20101020100,,A,,,0
002201010201001402,20101020100,,A,,,0
002201010201001501,20101020100,,A,,,0
002201010201001502,20101020100,,A,,,0
002201010201001601,20101020100,,A,,,0
002201010201001602,20101020100,,A,,,0
002201010201001701,20101020100,,A,,,0
002201010201001801,20101020100,,A,,,0
002201010201001901,20101020100,,A,,,0
002201010201001902,20101020100,,A,,,0
002201010201002001,20101020100,,A,,,0
002201010201002101,20101020100,,A,,,0
002201010201002201,20101020100,,A,,,0
002201010201002302,20101020100,,A,,,0
002202010101010101,20201010101,,A,,,0
002202010101010201,20201010101,,A,,,0
002202010101010301,20201010101,,A,,,0
002202010101010401,20201010101,,A,,,0
002202010101010501,20201010101,,A,,,0
002202010101010601,20201010101,,A,,,0
002202010101010602,20201010101,,A,,,0
002202010101010701,20201010101,,A,,,0
002202010101010801,20201010101,,A,,,0
002202010101010901,20201010101,,A,,,0
002202010101011001,20201010101,,A,,,0
002202010101011101,20201010101,,A,,,0
002202010101011201,20201010101,,A,,,0
002202010101011301,20201010101,,A,,,0
002202010101011401,20201010101,,A,,,0
002202010101011501,20201010101,,A,,,0
002202010101011601,20201010101,,A,,,0
002202010101011701,20201010101,,A,,,0
002202010101011801,20201010101,,A,,,0
002202010101011901,20201010101,,A,,,0
002202010101012001,20201010101,,A,,,0
002202010101012002,20201010101,,A,,,0
002202010101012101,20201010101,,A,,,0
002202010101012201,20201010101,,A,,,0
002202010101012301,20201010101,,A,,,0
002202010101012401,20201010101,,A,,,0
002202010101012501,20201010101,,A,,,0
002202010101012601,20201010101,,A,,,0
002202010101012602,20201010101,,A,,,0
002202010101012701,20201010101,,A,,,0
002202010101012801,20201010101,,A,,,0
002202010101012901,20201010101,,A,,,0
002202010101013001,20201010101,,A,,,0
002202010101013101,20201010101,,A,,,0
002202010102010101,20201010201,,A,,,0
002202010102010201,20201010201,,A,,,0
002202010102030301,20201010203,,A,,,0
002202010102040401,20201010204,,A,,,0
002202010102050501,20201010205,,A,,,0
002202010102060601,20201010206,,A,,,0
002202010102070701,20201010207,,A,,,0
002202010102080801,20201010208,,A,,,0
002202010102090901,20201010209,,A,,,0
002202010102101001,20201010210,,A,,,0
002202010102111101,20201010211,,A,,,0
002202010102121201,20201010212,,A,,,0
002202010102131301,20201010213,,A,,,0
002202010102141401,20201010214,,A,,,0
002202010102151501,20201010215,,A,,,0
002202010102161601,20201010216,,A,,,0
002202010102171701,20201010217,,A,,,0
002202010102181801,20201010218,,A,,,0
002202010102191901,20201010219,,A,,,0
002202010102202001,20201010220,,A,,,0
002202010102212101,20201010221,,A,,,0
002202010102222201,20201010222,,A,,,0
002202010102232301,20201010223,,A,,,0
002202010102242401,20201010224,,A,,,0
002202010102252501,20201010225,,A,,,0
002202010102262601,20201010226,,A,,,0
002202010102272701,20201010227,,A,,,0
002202010102282801,20201010228,,A,,,0
002202010102292901,20201010229,,A,,,0
002202010102303001,20201010230,,A,,,0
002202010201010101,20201020101,,A,,,0
002202010201010201,20201020101,,A,,,0
002202010201010301,20201020101,,A,,,0
002202010201010401,20201020101,,A,,,0
002202010201010501,20201020101,,A,,,0
002202010201010601,20201020101,,A,,,0
002202010201010701,20201020101,,A,,,0
002202010201010801,20201020101,,A,,,0
002202010201010901,20201020101,,A,,,0
002202010201011001,20201020101,,A,,,0
002202010201011101,20201020101,,A,,,0
002202010201011201,20201020101,,A,,,0
002202010201011301,20201020101,,A,,,0
002202010201011401,20201020101,,A,,,0
002202010201011501,20201020101,,A,,,0
002202010201011601,20201020101,,A,,,0
002202010201011701,20201020101,,A,,,0
002202010201011801,20201020101,,A,,,0
002202010201011901,20201020101,,A,,,0
002202010201012001,20201020101,,A,,,0
002202010201012101,20201020101,,A,,,0
002202010201012201,20201020101,,A,,,0
002202010201012301,20201020101,,A,,,0
002202010201012401,20201020101,,A,,,0
002202010201012501,20201020101,,A,,,0
002202010201012601,20201020101,,A,,,0
002202010201012701,20201020101,,A,,,0
002202010201012801,20201020101,,A,,,0
002202010201012901,20201020101,,A,,,0
002202010201013001,20201020101,,A,,,0
002202010202010101,20201020201,,A,,,0
002202010202010201,20201020201,,A,,,0
002202010202010301,20201020201,,A,,,0
002202010202010401,20201020201,,A,,,0
002202010202010501,20201020201,,A,,,0
002202010202010601,20201020201,,A,,,0
002202010202010701,20201020201,,A,,,0
002202010202010801,20201020201,,A,,,0
002202010202010901,20201020201,,A,,,0
002202010202011001,20201020201,,A,,,0
002202010202011101,20201020201,,A,,,0
002202010202011201,20201020201,,A,,,0
002202010202011301,20201020201,,A,,,0
002202010202011401,20201020201,,A,,,0
002202010202011501,20201020201,,A,,,0
002202010202011601,20201020201,,A,,,0
002202010202011701,20201020201,,A,,,0
002202010202011801,20201020201,,A,,,0
002202010202011901,20201020201,,A,,,0
002202010202012001,20201020201,,A,,,0
002202010202012101,20201020201,,A,,,0
002202010202012201,20201020201,,A,,,0
002202010202012301,20201020201,,A,,,0
002202010202012401,20201020201,,A,,,0
002202010202012501,20201020201,,A,,,0
002202010202012601,20201020201,,A,,,0
002202010202012701,20201020201,,A,,,0
002202010202012801,20201020201,,A,,,0
002202010202012901,20201020201,,A,,,0
002202010202013001,20201020201,,A,,,0
002202020101010102,20202010101,,A,,,0
002202020101010103,20202010101,,A,,,0
002202020101010104,20202010101,,A,,,0
002202020101010106,20202010101,,A,,,0
002202020101020001,20202010102,,A,,,0
002202020101030002,20202010103,,A,,,0
002202020102010101,20202010201,,A,,,0
002202020102010201,20202010201,,A,,,0
002202020102010301,20202010201,,A,,,0
002202020201010101,20202020101,,A,,,0
002202020201010201,20202020101,,A,,,0
002202020201010301,20202020101,,A,,,0
002202020202010101,20202020201,,A,,,0
002202020203010101,20202020301,,A,,,0
002202020203010201,20202020301,,A,,,0
002202020203010301,20202020301,,A,,,0
002202020203010401,20202020301,,A,,,0
002202020203010501,20202020301,,A,,,0
002202020203010601,20202020301,,A,,,0
002202020203010701,20202020301,,A,,,0
002202020203010801,20202020301,,A,,,0
002202020203010901,20202020301,,A,,,0
002202020203011001,20202020301,,A,,,0
002202020203011101,20202020301,,A,,,0
002202020203011201,20202020301,,A,,,0
002202030101010102,20203010101,,A,,,0
002202030101010103,20203010101,,A,,,0
002202030101010104,20203010101,,A,,,0
002202030101010106,20203010101,,A,,,0
002202030101010201,20203010101,,A,,,0
002202030101010302,20203010101,,A,,,0
002202030102010101,20203010201,,A,,,0
002202030102010201,20203010201,,A,,,0
002202030102010301,20203010201,,A,,,0
002202030201010101,20203020101,,A,,,0
002202030201010201,20203020101,,A,,,0
002202030201010301,20203020101,,A,,,0
002202030202010101,20203020201,,A,,,0
002202030203010101,20203020301,,A,,,0
002202030203010201,20203020301,,A,,,0
002202030203010301,20203020301,,A,,,0
002202030203010401,20203020301,,A,,,0
002202030203010501,20203020301,,A,,,0
002202030203010601,20203020301,,A,,,0
002202030203010701,20203020301,,A,,,0
002202030203010801,20203020301,,A,,,0
002202030203010901,20203020301,,A,,,0
002202030203011001,20203020301,,A,,,0
002202030203011101,20203020301,,A,,,0
002202030203011201,20203020301,,A,,,0
002205010100000101,20501010000,,A,,,0
002205020100000101,20502010000,,A,,,0
002205020100000201,20502010000,,A,,,0
002205020100000301,20502010000,,A,,,0
002205020100000401,20502010000,,A,,,0
002205020100000501,20502010000,,A,,,0
002205020100000601,20502010000,,A,,,0
002205030100000101,20503010000,,A,,,0
002205040100000101,20504010000,,A,,,0
002205040100000201,20504010000,,A,,,0
002205050100000101,20505010000,,A,,,0
002207010100000101,20701010000,,A,,,0
002207010100000201,20701010000,,A,,,0
002207010100000301,20701010000,,A,,,0
002207010100000401,20701010000,,A,,,0
002207010100000501,20701010000,,A,,,0
002207010100000601,20701010000,,A,,,0
002207010100000701,20701010000,,A,,,0
002207010100000801,20701010000,,A,,,0
002207010100000901,20701010000,,A,,,0
002207010100001001,20701010000,,A,,,0
002207010100001101,20701010000,,A,,,0
002207010100001201,20701010000,,A,,,0
002207010100001301,20701010000,,A,,,0
002207010100001401,20701010000,,A,,,0
002207010100001501,20701010000,,A,,,0
002207010100001602,20701010000,,A,,,0
002207010100001702,20701010000,,A,,,0
002207010100001801,20701010000,,A,,,0
002207020100000101,20702010000,,A,,,0
002207030100000101,20703010000,,A,,,0
002207030100000201,20703010000,,A,,,0
002207040100000101,20704010000,,A,,,0
002207050100000801,20705010000,,A,,,0
002207050100000802,20705010000,,A,,,0
002207050100001502,20705010000,,A,,,0
002207050100001802,20705010000,,A,,,0
002207050100002302,20705010000,,A,,,0
002207060100000101,20706010000,,A,,,0
002207060100000201,20706010000,,A,,,0
002207060100000301,20706010000,,A,,,0
002207060100000401,20706010000,,A,,,0
002207060100000501,20706010000,,A,,,0
002207060100000601,20706010000,,A,,,0
002207070100000101,20707010000,,A,,,0
002207080100000101,20708010000,,A,,,0
002207080100000201,20708010000,,A,,,0
002207080100000301,20708010000,,A,,,0
002207090100000101,20709010000,,A,,,0
002207100100000101,20710010000,,A,,,0
002207100100000201,20710010000,,A,,,0
002207110100000101,20711010000,,A,,,0
002207120101000101,20712010100,,A,,,0
002207120101000201,20712010100,,A,,,0
002207120101000301,20712010100,,A,,,0
002207120201000101,20712020100,,A,,,0
002207120301000101,20712030100,,A,,,0
002207120501000102,20712050100,,A,,,0
002207120501000202,20712050100,,A,,,0
002207120501000302,20712050100,,A,,,0
002207120501000402,20712050100,,A,,,0
002207120501000502,20712050100,,A,,,0
002207120601000102,20712060100,,A,,,0
002207120601000202,20712060100,,A,,,0
002207120701000101,20712070100,,A,,,0
002207120701000201,20712070100,,A,,,0
002207120701000301,20712070100,,A,,,0
002207120701000401,20712070100,,A,,,0
002207120701000501,20712070100,,A,,,0
002207120701000601,20712070100,,A,,,0
002207120801000101,20712080100,,A,,,0
002208010100000101,20801010000,,A,,,0
002208010100000202,20801010000,,A,,,0
002208010100000203,20801010000,,A,,,0
002208010100000204,20801010000,,A,,,0
002209010100000101,20901010000,,A,,,0
002209010100000201,20901010000,,A,,,0
002209010100000302,20901010000,,A,,,0
002210010100000101,21001010000,,A,,,0
002210020100000101,21002010000,,A,,,0
002210030100000101,21003010000,,A,,,0
002210030100000201,21003010000,,A,,,0
002210030100000301,21003010000,,A,,,0
002301010100000101,30101010000,,A,,,0
002301020101010101,30102010101,,A,,,0
002301020102010102,30102010201,,A,,,0
002301030101010101,30103010101,,A,,,0
002301030101010201,30103010101,,A,,,0
002301030101010301,30103010101,,A,,,0
002301030102010101,30103010201,,A,,,0
002301030102010201,30103010201,,A,,,0
002301030103010101,30103010301,,A,,,0
002301030104010001,30103010401,,A,,,0
002301030105010101,30103010501,,A,,,0
002301030106010101,30103010601,,A,,,0
002301030107010101,30103010701,,A,,,0
002301040100000102,30104010000,,A,,,0
002301050100000101,30105010000,,A,,,0
002301050100000201,30105010000,,A,,,0
002301060101010101,30106010101,,A,,,0
002301060101010201,30106010101,,A,,,0
002301060101010301,30106010101,,A,,,0
002301060102010101,30106010201,,A,,,0
002301070101010101,30107010101,,A,,,0
002301070101010201,30107010101,,A,,,0
002301070101010301,30107010101,,A,,,0
002301070102010101,30107010201,,A,,,0
002301080101000101,30108010100,,A,,,0
002301080101000201,30108010100,,A,,,0
002301080201000101,30108020100,,A,,,0
002301080301000101,30108030100,,A,,,0
002301080301000201,30108030100,,A,,,0
002303010100000101,30301010000,,A,,,0
002303010100000201,30301010000,,A,,,0
002303010100000301,30301010000,,A,,,0
002303010100000401,30301010000,,A,,,0
002303010100000501,30301010000,,A,,,0
002303020100000101,30302010000,,A,,,0
002303020100000201,30302010000,,A,,,0
002303020100000301,30302010000,,A,,,0
002303020100000401,30302010000,,A,,,0
002303020100000501,30302010000,,A,,,0
002303020100000601,30302010000,,A,,,0
002303020100000701,30302010000,,A,,,0
002303020100000801,30302010000,,A,,,0
002303020100000901,30302010000,,A,,,0
002303020100001001,30302010000,,A,,,0
002303020100001101,30302010000,,A,,,0
002303020100001201,30302010000,,A,,,0
002303030100000101,30303010000,,A,,,0
002303030100000201,30303010000,,A,,,0
002303030100000301,30303010000,,A,,,0
002303030100000401,30303010000,,A,,,0
002303030100000502,30303010000,,A,,,0
002303030100000601,30303010000,,A,,,0
002303030100000701,30303010000,,A,,,0
002303030100000801,30303010000,,A,,,0
002303030100000901,30303010000,,A,,,0
002303040100000101,30304010000,,A,,,0
002303050100000101,30305010000,,A,,,0
002303050100000201,30305010000,,A,,,0
002303060100000102,30306010000,,A,,,0
002303070100000101,30307010000,,A,,,0
002303070100000102,30307010000,,A,,,0
002303080100000101,30308010000,,A,,,0
002303090100000101,30309010000,,A,,,0
002303090100000201,30309010000,,A,,,0
002303090100000301,30309010000,,A,,,0
002303090100000302,30309010000,,A,,,0
002303090100000401,30309010000,,A,,,0
002303090100000502,30309010000,,A,,,0
002303090100000601,30309010000,,A,,,0
002303090100000701,30309010000,,A,,,0
002303090100000801,30309010000,,A,,,0
002303090100000901,30309010000,,A,,,0
002303090100001001,30309010000,,A,,,0
002303090100001101,30309010000,,A,,,0
002303090100001201,30309010000,,A,,,0
002303090100001301,30309010000,,A,,,0
002303090100001401,30309010000,,A,,,0
002303090100001501,30309010000,,A,,,0
002303090100001601,30309010000,,A,,,0
002303090100001701,30309010000,,A,,,0
002303090100001801,30309010000,,A,,,0
002304010100000101,30401010000,,A,,,0
002305010100000101,30501010000,,A,,,0
002305020100000101,30502010000,,A,,,0
002305030100000101,30503010000,,A,,,0
002305040100000101,30504010000,,A,,,0
002305040100000201,30504010000,,A,,,0
002305050100000102,30505010000,,A,,,0
002305050100000202,30505010000,,A,,,0
002305050100000301,30505010000,,A,,,0
002305050100000401,30505010000,,A,,,0
002305050100000501,30505010000,,A,,,0
002305060100000101,30506010000,,A,,,0
002305070100000101,30507010000,,A,,,0
002305080100000101,30508010000,,A,,,0
002305090101000101,30509010100,,A,,,0
002305090101000201,30509010100,,A,,,0
002305100201000101,30510020100,,A,,,0
002305100201000201,30510020100,,A,,,0
002305100201000301,30510020100,,A,,,0
002305100201000401,30510020100,,A,,,0
002305100201000501,30510020100,,A,,,0
002305100201000601,30510020100,,A,,,0
