Database,Accounting,Table,AccountChart,,,,,,,,,,,,,,,,,,,,
AccountNumber,CurrencyCode,BranchCode,ParentAccountId,AccountLevel,IsAccountLeave,BalanceSide,ReverseBalance,PostingSide,AccountName,ShortAccountName,MultiValueName,AccountClassification,AccountCategories,AccountGroup,DirectPosting,IsVisible,IsMultiCurrency,JobProcessOption,RefAccountNumber,ReferencesNumber,CreatedOnUtc,UpdatedOnUtc,Id
10704,AAA,002,,3,FALSE,D,N,A,"Property, Plant and Equipments - Office Machinery and Equipments","Property, Plant and Equipments - Office Machinery and Equipments",,A,M,N,Y,N,Y,N,,,,,0
10705,AAA,002,,3,FALSE,D,N,A,"Property, Plant and Equipments - Motor Vehicles","Property, Plant and Equipments - Motor Vehicles",,A,M,N,Y,N,Y,N,,,,,0
10706,AAA,002,,3,FALSE,D,N,A,"Property, Plant and Equipments - IT and Electrical Equipments","Property, Plant and Equipments - IT and Electrical Equipments",,A,M,N,Y,N,Y,N,,,,,0
10707,AAA,002,,3,FALSE,D,N,A,"Property, Plant and Equipments -Other","Property, Plant and Equipments -Other",,A,M,N,Y,N,Y,N,,,,,0
10801,AAA,002,,3,FALSE,D,N,A,Right of Use Assets - Leasehold Property,Right of Use Assets - Leasehold Property,,A,M,N,Y,N,Y,N,,,,,0
10901,AAA,002,,3,FALSE,D,N,A,Intangible Assets - Core Banking System,Intangible Assets - Core Banking System,,A,M,N,Y,N,Y,N,,,,,0
10902,AAA,002,,3,FALSE,D,N,A,Intangible Assets - Other Software,Intangible Assets - Other Software,,A,M,N,Y,N,Y,N,,,,,0
11001,AAA,002,,3,FALSE,D,N,A,Other Assets - Restricted Cash at CBM,Other Assets - Restricted Cash at CBM,,A,M,N,Y,N,Y,N,,,,,0
11002,AAA,002,,3,FALSE,D,N,A,Other Assets - Accrued Interest Receivable,Other Assets - Accrued Interest Receivable,,A,M,N,Y,N,Y,N,,,,,0
11003,AAA,002,,3,FALSE,D,N,A,Other Assets - Debit Note Receivables,Other Assets - Debit Note Receivables,,A,M,N,Y,N,Y,N,,,,,0
11004,AAA,002,,3,FALSE,D,N,A,Other Assets - Internal Draft & Cheque Purchase,Other Assets - Internal Draft & Cheque Purchase,,A,M,N,Y,N,Y,N,,,,,0
11005,AAA,002,,3,FALSE,D,N,A,Other Assets - Other Receivables,Other Assets - Other Receivables,,A,M,N,Y,N,Y,N,,,,,0
11006,AAA,002,,3,FALSE,D,N,A,Other Assets - Suspense Accounts,Other Assets - Suspense Accounts,,A,M,N,Y,N,Y,N,,,,,0
11007,AAA,002,,3,FALSE,D,N,A,Other Assets - Prepaid,Other Assets - Prepaid,,A,M,N,Y,N,Y,N,,,,,0
11008,AAA,002,,3,FALSE,D,N,A,Other Assets - Deferred Expenses,Other Assets - Deferred Expenses,,A,M,N,Y,N,Y,N,,,,,0
11009,AAA,002,,3,FALSE,D,N,A,Other Assets - Claims,Other Assets - Claims,,A,M,N,Y,N,Y,N,,,,,0
11010,AAA,002,,3,FALSE,B,N,A,Other Assets - IBS,Other Assets - IBS,,A,M,N,Y,N,Y,N,,,,,0
11011,AAA,002,,3,FALSE,D,N,A,Other Assets - All Other Assets,Other Assets - All Other Assets,,A,M,N,Y,N,Y,N,,,,,0
20101,AAA,002,,3,FALSE,C,N,A,Short-term Borrowings,Short-term Borrowings,,L,M,N,Y,N,Y,N,,,,,0
20201,AAA,002,,3,FALSE,C,N,A,Deposits of Financial Institutions,Deposits of Financial Institutions,,L,M,N,Y,N,Y,N,,,,,0
20202,AAA,002,,3,FALSE,C,N,A,Deposits by NFIs and Other Clients (Corporate),Deposits by NFIs and Other Clients (Corporate),,L,M,N,Y,N,Y,N,,,,,0
20203,AAA,002,,3,FALSE,C,N,A,Deposits by NFIs and Other Clients (Individual),Deposits by NFIs and Other Clients (Individual),,L,M,N,Y,N,Y,N,,,,,0
20501,AAA,002,,3,FALSE,C,N,A,2% General Provision,2% General Provision,,L,M,N,Y,N,Y,N,,,,,0
20502,AAA,002,,3,FALSE,C,N,A,"Provision for Depreciation of Property, Plant and Equipments","Provision for Depreciation of Property, Plant and Equipments",,L,M,N,Y,N,Y,N,,,,,0
20503,AAA,002,,3,FALSE,C,N,A,Provision for Depreciation of Right of Use Assets,Provision for Depreciation of Right of Use Assets,,L,M,N,Y,N,Y,N,,,,,0
20504,AAA,002,,3,FALSE,C,N,A,Provision for Amortization of Intangible Assets,Provision for Amortization of Intangible Assets,,L,M,N,Y,N,Y,N,,,,,0
20505,AAA,002,,3,FALSE,C,N,A,Provisions for Income Tax,Provisions for Income Tax,,L,M,N,Y,N,Y,N,,,,,0
20506,AAA,002,,3,FALSE,C,N,A,Provision for Others,Provision for Others,,L,M,N,Y,N,Y,N,,,,,0
20701,AAA,002,,3,FALSE,C,N,A,Accrued and Other Liabilities - Accrued Interest Payable,Accrued and Other Liabilities - Accrued Interest Payable,,L,M,N,Y,N,Y,N,,,,,0
20702,AAA,002,,3,FALSE,C,N,A,Accrued and Other Liabilities - Sundry Deposits- Paid-up Capital,Accrued and Other Liabilities - Sundry Deposits- Paid-up Capital,,L,M,N,Y,N,Y,N,,,,,0
20703,AAA,002,,3,FALSE,C,N,A,Accrued and Other Liabilities - Sundry Deposits- Interest in Suspense,Accrued and Other Liabilities - Sundry Deposits- Interest in Suspense,,L,M,N,Y,N,Y,N,,,,,0
20704,AAA,002,,3,FALSE,C,N,A,Accrued and Other Liabilities - Sundry Deposits- Marginal Deposit,Accrued and Other Liabilities - Sundry Deposits- Marginal Deposit,,L,M,N,Y,N,Y,N,,,,,0
20705,AAA,002,,3,FALSE,C,N,A,Accrued and Other Liabilities - Sundry Deposits- Others,Accrued and Other Liabilities - Sundry Deposits- Others,,L,M,N,Y,N,Y,N,,,,,0
20706,AAA,002,,3,FALSE,C,N,A,Accrued and Other Liabilities - Unclaimed Liabilities,Accrued and Other Liabilities - Unclaimed Liabilities,,L,M,N,Y,N,Y,N,,,,,0
20707,AAA,002,,3,FALSE,C,N,A,Accrued and Other Liabilities - Item Due Unpaid,Accrued and Other Liabilities - Item Due Unpaid,,L,M,N,Y,N,Y,N,,,,,0
20708,AAA,002,,3,FALSE,C,N,A,Accrued and Other Liabilities - Payment Order,Accrued and Other Liabilities - Payment Order,,L,M,N,Y,N,Y,N,,,,,0
20709,AAA,002,,3,FALSE,C,N,A,Accrued and Other Liabilities - Gift Cheques,Accrued and Other Liabilities - Gift Cheques,,L,M,N,Y,N,Y,N,,,,,0
20710,AAA,002,,3,FALSE,C,N,A,Accrued and Other Liabilities - Internal Remittance,Accrued and Other Liabilities - Internal Remittance,,L,M,N,Y,N,Y,N,,,,,0
20711,AAA,002,,3,FALSE,C,N,A,Accrued and Other Liabilities - Debit Note Payables,Accrued and Other Liabilities - Debit Note Payables,,L,M,N,Y,N,Y,N,,,,,0
20712,AAA,002,,3,FALSE,C,N,A,Accrued and Other Liabilities - Other Liabilities,Accrued and Other Liabilities - Other Liabilities,,L,M,N,Y,N,Y,N,,,,,0
20801,AAA,002,,3,FALSE,C,N,A,Share Capital - Ordinary Share Capital,Share Capital - Ordinary Share Capital,,L,M,N,Y,N,Y,N,,,,,0
20901,AAA,002,,3,FALSE,C,N,A,Retained Earnings,Retained Earnings,,L,M,N,Y,N,Y,N,,,,,0
21001,AAA,002,,3,FALSE,C,N,A,Statutory Reserves,Statutory Reserves,,L,M,N,Y,N,Y,N,,,,,0
21002,AAA,002,,3,FALSE,C,N,A,Contingency Reserves,Contingency Reserves,,L,M,N,Y,N,Y,N,,,,,0
21003,AAA,002,,3,FALSE,C,N,A,Other Reserves,Other Reserves,,L,M,N,Y,N,Y,N,,,,,0
30101,AAA,002,,3,FALSE,C,N,A,Deposits with CBM,Deposits with CBM,,I,M,I,Y,N,Y,N,,,,,0
30102,AAA,002,,3,FALSE,C,N,A,Deposits with Banks,Deposits with Banks,,I,M,I,Y,N,Y,N,,,,,0
30103,AAA,002,,3,FALSE,C,N,A,Loans,Loans,,I,M,I,Y,N,Y,N,,,,,0
30104,AAA,002,,3,FALSE,C,N,A,Trade Finance,Trade Finance,,I,M,I,Y,N,Y,N,,,,,0
30105,AAA,002,,3,FALSE,C,N,A,Discounted Bills (Bills Purchased),Discounted Bills (Bills Purchased),,I,M,I,Y,N,Y,N,,,,,0
30106,AAA,002,,3,FALSE,C,N,A,Overdraft,Overdraft,,I,M,I,Y,N,Y,N,,,,,0
